INPUT	CONVERSION PRACTICE AREAS	CONVERSION SPECIALTY
Antitrust Law	Antitrust	
Antitrust Policy & Regulation	Antitrust	
Antitrust Specialty Practice Group	Antitrust	
Antitrust/Competition	Antitrust	
Business Antitrust Counseling	Antitrust	
Cartel & Criminal Antitrust Investigations	Antitrust	
Cartel Investigations & Criminal Antitrust Prosecutions	Antitrust	
Civil Antitrust Investigations	Antitrust	
Competition	Antitrust	
Competition & Antitrust	Antitrust	
Competition & Trade	Antitrust	
Competition & Trade Regulation	Antitrust	
Competition Law	Antitrust	
Government Antitrust Investigation	Antitrust	
Government Antitrust Investigations Defense	Antitrust	
International Antitrust	Antitrust	
Unfair Competition & Consumer Protection	Antitrust	
Antitrust & Complex Commercial Litigation	Antitrust;Litigation	Litigation
Antitrust Litigation & Government Investigations	Antitrust;Litigation	Litigation;Investigations
Acquisition & Asset Based Finance	Banking	Asset Backed Finance
Asset Backed Commercial Paper	Banking	Asset Backed Finance
Asset Backed Securities	Banking	Asset Backed Finance
Asset Backed Securities Abs	Banking	Asset Backed Finance
Asset Based Finance	Banking	Asset Backed Finance
Asset Based Financing	Banking	Asset Backed Finance
Asset Based Financings	Banking	Asset Backed Finance
Asset Based Lending	Banking	Asset Backed Finance
Asset Based Lending & Debtor in Possession Financing	Banking	Asset Backed Finance
Asset Based Loan Facilities	Banking	Asset Backed Finance
Asset Based Loans & Structured Investments	Banking	Asset Backed Finance
Asset Finance	Banking	Asset Backed Finance
Asset Finance & Lending	Banking	Asset Backed Finance
Asset Financings	Banking	Asset Backed Finance
Commercial & Asset Based Lending	Banking	Asset Backed Finance;Lending
Asset Based Securitizations	Banking	Asset Backed Finance;Securitization
Asset Based Securitizations & Private Placements	Banking	Asset Backed Finance;Securitization
Asset Finance & Securitization	Banking	Asset Backed Finance;Securitization
Commodities	Banking	Commodities
Commodities & Contractual Rights	Banking	Commodities
Commodities & Exchange Regulation	Banking	Commodities
Commodities & Futures Regulation	Banking	Commodities
Commodities Enforcement & Investigations	Banking	Commodities
Commodities Trading & Finance	Banking	Commodities
Commodities Trading & Regulation	Banking	Commodities
Energy & Commodities	Banking	Commodities
Energy & Commodities Derivatives	Banking	Commodities
Energy & Commodities Investigations	Banking	Commodities
Energy & Commodities Regulation & Compliance	Banking	Commodities
Energy & Commodities Transactions	Banking	Commodities
Commodities & Derivatives	Banking	Commodities;Derivatives
Commodities & Derivatives Regulation & Enforcement	Banking	Commodities;Derivatives
Bank Regulation	Banking	Compliance/Regulatory
Bank Regulation & Supervision	Banking	Compliance/Regulatory
Bank Regulatory	Banking	Compliance/Regulatory
Bank Regulatory Matters	Banking	Compliance/Regulatory
Banking & Financial Services Regulatory	Banking	Compliance/Regulatory
Financial Regulation	Banking	Compliance/Regulatory
Financial Regulation Group	Banking	Compliance/Regulatory
Financial Regulatory	Banking	Compliance/Regulatory
Financial Regulatory & Compliance Financial Institutions	Banking	Compliance/Regulatory
Financial Regulatory & Compliance Group	Banking	Compliance/Regulatory
Consumer Finance Regulatory	Banking	Compliance/Regulatory;Consumer Finance
Consumer Finance Regulatory Compliance	Banking	Compliance/Regulatory;Consumer Finance
Consumer Financial Protection & Compliance	Banking	Compliance/Regulatory;Consumer Finance
Consumer Finance	Banking	Consumer Finance
Consumer Finance & Banking	Banking	Consumer Finance
Consumer Finance Licensing	Banking	Consumer Finance
Consumer Financial Products & Services	Banking	Consumer Finance
Consumer Financial Protection	Banking	Consumer Finance
Consumer Financial Protection Bureau	Banking	Consumer Finance
Consumer Financial Protection Bureau Cfpb	Banking	Consumer Finance
Consumer Financial Protection Bureau Working Group	Banking	Consumer Finance
Consumer Financial Services	Banking	Consumer Finance
Consumer Financial Services Enforcement	Banking	Consumer Finance
Mortgage & Consumer Finance	Banking	Consumer Finance
Consumer Financial Compliance & Litigation	Banking	Consumer Finance;Litigation
Consumer Financial Litigation	Banking	Consumer Finance;Litigation
Consumer Financial Services Litigation	Banking	Consumer Finance;Litigation
Consumer Financial Services Regulatory & Compliance	Banking	Consumer Finance;Litigation
Agents & Corporate Trust Services	Banking	Corporate Trust
Corporate Trust	Banking	Corporate Trust
Corporate Trust & Agency	Banking	Corporate Trust
Corporate Trust / Bond Default	Banking	Corporate Trust
Corporate Trust Defaults & Bankruptcies	Banking	Corporate Trust
Corporate Trust Financial Services Litigation	Banking	Corporate Trust
Corporate Trust General Representation	Banking	Corporate Trust
Corporate Trust Insolvency & Restructuring	Banking	Corporate Trust
Corporate Trust Services	Banking	Corporate Trust
Corporate Trust Transactions	Banking	Corporate Trust
Debt Capital Markets	Banking	Debt Capital Markets
Banking & Debt Finance	Banking	Debt Finance
Corporate Debt Finance	Banking	Debt Finance
Corporate Debt Securities	Banking	Debt Finance
Debt Finance	Banking	Debt Finance
Debt Financing	Banking	Debt Finance
Debt Issuances	Banking	Debt Finance
Debt Securities Transactions	Banking	Debt Finance
Debt Issuances & Restructurings	Banking	Debt Finance;Restructuring
Advisers & Derivatives	Banking	Derivatives
Derivatives	Banking	Derivatives
Derivatives & Investment Products	Banking	Derivatives
Derivatives & Structured Products	Banking	Derivatives
Derivatives & Swaps	Banking	Derivatives
Derivatives & Synthetic Structures	Banking	Derivatives
Derivatives Regulatory	Banking	Derivatives
Futures & Derivatives	Banking	Derivatives
Futures & Derivatives Enforcement	Banking	Derivatives
Futures & Derivatives Litigation	Banking	Derivatives
Futures & Options	Banking	Derivatives
Futures & Options Renewable Energy	Banking	Derivatives
Derivatives & Commodities	Banking	Derivatives;Cmmodities
Derivatives & Structured Finance	Banking	Derivatives;Structured Finance
Dodd Frank & the Consumer Financial Protection Bureau	Banking	Dodd-Frank
Dodd Frank Act Analysis	Banking	Dodd-Frank
Dodd Frank Act Resource Center	Banking	Dodd-Frank
Dodd Frank Financial Reform Task Force	Banking	Dodd-Frank
Dodd Frank Resource Center	Banking	Dodd-Frank
Dodd Frank Whistleblower Working Group	Banking	Dodd-Frank
Auto Finance	Banking	Equipment Finance
Equipment Finance	Banking	Equipment Finance
Equipment Finance & Leasing	Banking	Equipment Finance
Equipment Finance Receivables	Banking	Equipment Finance
Equipment Financing & Leasing	Banking	Equipment Finance
Equipment Lease & Finance Group	Banking	Equipment Finance
Equipment Leasing	Banking	Equipment Finance
Equipment Leasing & Finance	Banking	Equipment Finance
General Equipment Leasing & Finance	Banking	Equipment Finance
Lease & Transportation Financing	Banking	Equipment Finance
Asset Management	Banking	Financial Institutions
Bank & Financial Institution Representation	Banking	Financial Institutions
Banking / Financial Services	Banking	Financial Institutions
Banking/Financial Services	Banking	Financial Institutions
Banks	Banking	Financial Institutions
Banks & Financial Institutions	Banking	Financial Institutions
Banks & Investment Banks	Banking	Financial Institutions
Banks & Other Financial Institutions	Banking	Financial Institutions
Commercial Financial Services	Banking	Financial Institutions
Financial Advisory Services	Banking	Financial Institutions
Financial Institution Asset Sales & Acquisitions	Banking	Financial Institutions
Financial Institution Regulatory Law	Banking	Financial Institutions
Financial Institutions	Banking	Financial Institutions
Financial Institutions & Capital Markets	Banking	Financial Institutions
Financial Institutions & Lender Syndicates	Banking	Financial Institutions
Financial Institutions & Market Regulation	Banking	Financial Institutions
Financial Institutions Advisory & Financial Regulatory	Banking	Financial Institutions
Financial Institutions Capital Markets	Banking	Financial Institutions
Financial Institutions Compliance	Banking	Financial Institutions
Financial Institutions Compliance & Enforcement	Banking	Financial Institutions
Financial Institutions Corporate & Regulatory	Banking	Financial Institutions
Financial Institutions Data	Banking	Financial Institutions
Financial Institutions Global Islamic Finance & Investment	Banking	Financial Institutions
Financial Institutions Government Advocacy & Public Policy	Banking	Financial Institutions
Financial Institutions Group	Banking	Financial Institutions
Financial Institutions Practice	Banking	Financial Institutions
Financial Institutions Private Equity & Investment Funds	Banking	Financial Institutions
Financial Institutions Regulation	Banking	Financial Institutions
Financial Institutions Regulation & Compliance	Banking	Financial Institutions
Financial Institutions Regulation & Compliance Agribusiness	Banking	Financial Institutions
Financial Institutions Regulation & Compliance Insurance	Banking	Financial Institutions
Financial Institutions Regulation & Enforcement	Banking	Financial Institutions
Financial Institutions Regulatory	Banking	Financial Institutions
Financial Institutions Restructuring	Banking	Financial Institutions
Financial Institutions Syndicated Lending & Finance	Banking	Financial Institutions
Financial Services	Banking	Financial Institutions
Financial Services & Banking	Banking	Financial Institutions
Financial Services & Business Methods	Banking	Financial Institutions
Financial Services & Markets	Banking	Financial Institutions
Financial Services & Products	Banking	Financial Institutions
Financial Services & Transactions	Banking	Financial Institutions
Financial Services Advocacy	Banking	Financial Institutions
Financial Services Capital Markets	Banking	Financial Institutions
Financial Services Corporate	Banking	Financial Institutions
Financial Services Enforcement	Banking	Financial Institutions
Financial Services Industry	Banking	Financial Institutions
Financial Services Law	Banking	Financial Institutions
Financial Services Policy	Banking	Financial Institutions
Financial Services Regulation	Banking	Financial Institutions
Financial Services Regulatory	Banking	Financial Institutions
Financial Services Regulatory & Compliance	Banking	Financial Institutions
Financial Services Regulatory & Enforcement	Banking	Financial Institutions
Financial Services Regulatory / Compliance	Banking	Financial Institutions
Financial Services Regulatory Matters	Banking	Financial Institutions
Global Financial Services Firms	Banking	Financial Institutions
Financial Institution Litigation	Banking	Financial Institutions;Litigation
Financial Institutions Investigations	Banking	Financial Institutions;Litigation
Financial Institutions Litigation	Banking	Financial Institutions;Litigation
Financial Institutions Litigation & Regulation	Banking	Financial Institutions;Litigation
Financial Services Investigations & Enforcement	Banking	Financial Institutions;Litigation
Financial Services Investigations & Litigation	Banking	Financial Institutions;Litigation
Financial Services Litigation	Banking	Financial Institutions;Litigation
Financial Services Litigation & Compliance	Banking	Financial Institutions;Litigation
Financial Services Litigation & Enforcement	Banking	Financial Institutions;Litigation
Financial Services Litigation & Investigations	Banking	Financial Institutions;Litigation
Financial Services Litigation & Regulation	Banking	Financial Institutions;Litigation
Financial Sevices Litigation	Banking	Financial Institutions;Litigation
Financial Institution Mergers	Banking	Financial Institutions;M&A
Financial Institutions M & A	Banking	Financial Institutions;M&A
Financial Institutions Mergers	Banking	Financial Institutions;M&A
Financial Institutions Mergers & Acquisitions	Banking	Financial Institutions;M&A
Finra	Banking	FINRA
Finra Arbitrations	Banking	FINRA
Finra Broker Dealer	Banking	FINRA
Banking & Lending Transactions	Banking	Lending
Commercial Lending	Banking	Lending
Commercial Lending & Finance	Banking	Lending
Commercial Lending Banking	Banking	Lending
Corporate & Commercial Lending	Banking	Lending
Corporate Lending	Banking	Lending
General Lending	Banking	Lending
Lending & Finance	Banking	Lending
Lending & Financial Services	Banking	Lending
Lending & Regulatory Compliance	Banking	Lending
Lending Transactions	Banking	Lending
Marketplace Lending	Banking	Lending
Mlp Lending & Finance	Banking	Lending
Commercial Lending & Structured Finance	Banking	Lending;Structured Finance
Lending & Structured Finance	Banking	Lending;Structured Finance
Acquisition & Leveraged Finance	Banking	Leveraged Finance
Acquisition & Other Leveraged Financings	Banking	Leveraged Finance
Acquisitions & Leveraged Financings	Banking	Leveraged Finance
Bank & Leveraged Finance	Banking	Leveraged Finance
Leveraged & Acquisition Finance	Banking	Leveraged Finance
Leveraged & Acquisition Financings	Banking	Leveraged Finance
Leveraged Buyout Acquisition Financing	Banking	Leveraged Finance
Leveraged Buyout Finance	Banking	Leveraged Finance
Leveraged Finance	Banking	Leveraged Finance
Leveraged Finance & Lending	Banking	Leveraged Finance
Leveraged Financings	Banking	Leveraged Finance
Bank & Financial Institution Litigation	Banking	Litigation
Bank Consumer Class Actions	Banking	Litigation
Bank Litigation	Banking	Litigation
Banking & Creditors Rights Litigation	Banking	Litigation
Banking & Finance Litigation	Banking	Litigation
Banking & Financial Institutions Litigation	Banking	Litigation
Banking & Financial Services Litigation	Banking	Litigation
Banking & Lending Disputes	Banking	Litigation
Banking/Finance Litigation	Banking	Litigation
Complex Financial Products Litigation	Banking	Litigation
Derivatives & Transactional Litigation	Banking	Litigation
Derivatives Enforcement & Litigation	Banking	Litigation
Financial Institutions & Services Litigation	Banking	Litigation
Financing Litigation	Banking	Litigation
Litigation Financial Institutions	Banking	Litigation
Litigation Financial Services	Banking	Litigation
Mortgage Fraud Litigation	Banking	Litigation
Mortgage Related Litigation	Banking	Litigation
Consumer Finance Litigation	Banking	Litigation;Consumer Finance
Consumer Finance Litigation & Compliance	Banking	Litigation;Consumer Finance
Consumer Finance Litigation & Dispute Resolution	Banking	Litigation;Consumer Finance
Structured Finance Litigation Team	Banking	Litigation;Structured Finance
Bank Mergers & Acquisition Strategy	Banking	M&A
Bank Mergers & Acquisitions & Regulatory Applications	Banking	M&A
Banking Mergers & Acquisitions	Banking	M&A
Bank Regulatory & Bank M & A	Banking	M&A;Compliance/Regulatory
Acquisition & Bridge Financings	Banking	Mezzanine Finance
Bridge & Mezzanine Financings	Banking	Mezzanine Finance
Bridge & Mezzanine Financings & Dividend Recapitalizations	Banking	Mezzanine Finance
Bridge Facilities	Banking	Mezzanine Finance
Bridge Lending	Banking	Mezzanine Finance
Junior Capital / Mezzanine Finance	Banking	Mezzanine Finance
Mezzanine Capital & Multi Tranche Finance	Banking	Mezzanine Finance
Mezzanine Facilities	Banking	Mezzanine Finance
Mezzanine Finance	Banking	Mezzanine Finance
Mezzanine Finance & Private Equity	Banking	Mezzanine Finance
Mezzanine Lending	Banking	Mezzanine Finance
Private Equity & Mezzanine Finance	Banking	Mezzanine Finance
Cards	Banking	Payment Systems
Cards & Payments	Banking	Payment Systems
Electronic Fund Transfers & Mobile Payments	Banking	Payment Systems
Global Banking & Payment Systems	Banking	Payment Systems
Payer Disputes & Reimbursement	Banking	Payment Systems
Payment Systems	Banking	Payment Systems
Global Infrastructure & Project Finance	Banking	Project Finance
Global Project Finance	Banking	Project Finance
Project & Infrastructure Finance	Banking	Project Finance
Project & Equipment Finance	Banking	Project Finance;Equipment Finance
Banking Law Real Estate Mortgage Lending Bankruptcy Law	Banking	Real Estate
Banking & Institutional Finance & Restructuring	Banking	Restructuring
Debt Restructuring	Banking	Restructuring
Debt Restructurings	Banking	Restructuring
Finance & Secured Lending	Banking	Secured Lending
Asset Securitization	Banking	Securitization
Securitisation	Banking	Securitization
Securitization	Banking	Securitization
Securitizations	Banking	Securitization
Securitization & Asset Based Finance	Banking	Securitization;Asset Backed Finance
Securitization & Derivatives	Banking	Securitization;Derivatives
Securitizations & Financial Derivatives	Banking	Securitization;Derivatives
Securitization & Structured Finance	Banking	Securitization;Structured Finance
Securitizations & Structured Finance	Banking	Securitization;Structured Finance
Bank & Structured Finance	Banking	Structured Finance
Mortgage & Structured Finance	Banking	Structured Finance
Structured & Warehouse Finance	Banking	Structured Finance
Structured Finance	Banking	Structured Finance
Structured Finance & Financial Products	Banking	Structured Finance
Structured Finance & Production Payments	Banking	Structured Finance
Structured Finance Transactions	Banking	Structured Finance
Structured Financings	Banking	Structured Finance
Syndicated Finance	Banking	Structured Finance
Acquisition & Structured Finance & Derivative Transactions	Banking	Structured Finance;Derivatives
Structured Finance & Derivatives	Banking	Structured Finance;Derivatives
Structured Finance & Derivatives Litigation	Banking	Structured Finance;Derivatives;Litigation
Project / Structured Finance	Banking	Structured Finance;Project Finance
Structured Finance & Project Finance	Banking	Structured Finance;Project Finance
Asset Securitization & Structured Finance	Banking	Structured Finance;Securitization
Structured Finance & Securitisation	Banking	Structured Finance;Securitization
Structured Finance & Securitization	Banking	Structured Finance;Securitization
Swap Regulation	Banking	Swaps
Swaps	Banking	Swaps
Swaps & Derivatives	Banking	Swaps
Swaps & Derivatives Structuring	Banking	Swaps
Swaps & Hedges	Banking	Swaps
Swaps & Other Hedges	Banking	Swaps
Commercial Paper	Banking	UCC
Commercial Paper & Bank Financed Transactions	Banking	UCC
Ucc & Secured Transactions	Banking	UCC
Accounts Receivable Financing	Banking	
Acquisition Finance	Banking	
Acquisition Finance Transactions	Banking	
Acquisition Financings	Banking	
Agents & Borrowers in Financing Transactions	Banking	
Agents & Institutional Lenders	Banking	
Agents for Lender Syndicates	Banking	
Bank Finance & Lending	Banking	
Bank Financings & General Corporate Matters	Banking	
Bank Regulatory & Transactions	Banking	
Bank Regulatory Compliance / Examination Activities	Banking	
Bank Regulatory Enforcement & Investigations	Banking	
Bank Transactions & Regulations	Banking	
Banking	Banking	
Banking & Asset Finance	Banking	
Banking & Business	Banking	
Banking & Capital Markets	Banking	
Banking & Consumer Financial Services	Banking	
Banking & Credit	Banking	
Banking & Finance	Banking	
Banking & Finance Law	Banking	
Banking & Finance London	Banking	
Banking & Finance Taxation	Banking	
Banking & Financial Institutions	Banking	
Banking & Financial Services	Banking	
Banking & Financial Services Financial Institutions	Banking	
Banking & Financial Services Health Care	Banking	
Banking & Financial Services Real Estate	Banking	
Banking & Financial Services Renewable Energy	Banking	
Banking & Financial Services Telecommunications	Banking	
Banking & Financial Services Transportation	Banking	
Banking & Institutional Finance	Banking	
Banking & Investment	Banking	
Banking & Regulated Financial Institutions	Banking	
Banking & Regulatory	Banking	
Banking & Syndicated Loan Transactions	Banking	
Banking & Trust	Banking	
Banking / Lender Counsel & Litigation	Banking	
Banking / Lender Litigation	Banking	
Banking Industry	Banking	
Banking Intellectual Property Issues	Banking	
Banking Investigations & Enforcement	Banking	
Banking Law	Banking	
Banking Legislative Matters	Banking	
Banking Operations	Banking	
Banking Regulation	Banking	
Bonds & Securities	Banking	
Business Finance & Restructuring	Banking	
Collateralized Debt Obligations & Securities Offerings	Banking	
Collateralized Loan Obligations	Banking	
Commercial & Public Finance	Banking	
Commercial Banking	Banking	
Commercial Banks	Banking	
Commercial Finance	Banking	
Commercial Finance & Lending	Banking	
Commercial Financing	Banking	
Commercial Financings	Banking	
Commercial Loan Documentation	Banking	
Commercial Loan Servicing	Banking	
Commercial Loans	Banking	
Commercial Mortgage Backed Securities	Banking	
Commercial Mortgage Backed Securities Cmbs	Banking	
Commercial Mortgage Loans	Banking	
Complex Financial Systems / Business Methods	Banking	
Construction & Commercial Financing	Banking	
Corporate & Commercial Finance	Banking	
Corporate Borrowers	Banking	
Fiduciary Advisory Services	Banking	
Finance	Banking	
Finance & Banking	Banking	
Financing	Banking	
Global Finance	Banking	
Global Financial Markets	Banking	
High Yield & Investment Grade Debt Offerings	Banking	
High Yield & Investment Grade Offerings	Banking	
High Yield Bonds	Banking	
High Yield Debt	Banking	
High Yield Debt Offerings	Banking	
High Yield Offerings	Banking	
International & Foreign Banking	Banking	
International Banking Law	Banking	
International Finance	Banking	
International Lending & Banking Regulation	Banking	
Investment & Banking	Banking	
Investment & Finance	Banking	
Investment Grade Bond Offerings	Banking	
Investment Grade Bonds	Banking	
Investment Grade Debt Offerings	Banking	
Investment Grade Finance	Banking	
Investment Grade Notes	Banking	
Lease Finance	Banking	
Leveraged Buyouts & Corporate Securities	Banking	
Loan Commitments	Banking	
Loan Documentation	Banking	
Loan Documentation & Financing	Banking	
Mortgage & Consumer Credit	Banking	
Mortgage & Foreclosure	Banking	
Mortgage & Foreclosure Matters	Banking	
Mortgage & Home Equity Lending	Banking	
Mortgage Backed Securities	Banking	
Mortgage Banking	Banking	
Mortgage Banking & Whole Loan Trading	Banking	
Mortgage Credit Certificates	Banking	
Mortgage Finance	Banking	
Mortgage Foreclosure	Banking	
Mortgage Foreclosures	Banking	
Mortgage Industry	Banking	
Mortgage Insurance	Banking	
Mortgage Law	Banking	
Mortgage Origination	Banking	
Mortgage Reits	Banking	
Mortgage Related Securities	Banking	
Mortgage Servicing	Banking	
Mortgage Servicing & Lender Litigation	Banking	
Financial Institution Insolvency	Banking;Bankruptcy	Financial Institutions
Financial Institutions Commercial Bankruptcy	Banking;Bankruptcy	Financial Institutions
Debt & Equity Finance	Banking;Corporate	Finance;Debt Finance
Financial Institutions & Private Investment Funds	Banking;Corporate	Financial Institutions;Investment Funds
Financial Services & Investment Management	Banking;Corporate	Financial Institutions;Investment Management
Financial Institutions Government Investigations	Banking;Government	Financial Institutions
Financial Institutions & Insurance Finance	Banking;Insurance	Financial Institutions
Financial Services & Insurance	Banking;Insurance	Financial Institutions
Financial Services & Insurance Litigation	Banking;Insurance	Financial Institutions;Litigation
Finance & Real Estate	Banking;Real Estate	Finance
Commercial Lending & Real Estate	Banking;Real Estate	Finance;Lending
Financial Institutions & Real Estate	Banking;Real Estate	Financial Institutions
Bank & Real Estate Litigation	Banking;Real Estate	Litigation
Banking & Real Estate Disputes	Banking;Real Estate	Litigation
Financial Services & Tax	Banking;Tax	Financial Institutions
Distressed Debt & Workouts	Bankrupcty	Distressed Debt;Workouts
Corporate Restructuring	Bankrupcty	Restructuring
Acquirors in Chapter 11 Cases	Bankruptcy	Chapter 11
Chapter 11 Corporate & Commercial Reorganization	Bankruptcy	Chapter 11
Chapter 11 Debtor Representation	Bankruptcy	Chapter 11
Debtor & Committee Representation in Chapter 11	Bankruptcy	Chapter 11
Chapter 11 & Commercial Reorganization	Bankruptcy	Chapter 11;Reorganizations
Borrower / Workouts / Chapter 11 Debtor Representations	Bankruptcy	Chapter 11;Workouts
Chapter 7 Cases	Bankruptcy	Chapter 7
Consumer Chapter 7 & Chapter 13 Bankruptcy	Bankruptcy	Chapter 7;Chapter 11
Bankruptcy & Creditor Rights	Bankruptcy	Creditors’ Rights
Bankruptcy & Creditors Rights	Bankruptcy	Creditors’ Rights
Bankruptcy & Creditors Rights Counseling	Bankruptcy	Creditors’ Rights
Bankruptcy & Creditors Rights Litigation	Bankruptcy	Creditors’ Rights
Bankruptcy & Creditors Rights Media & Advertising	Bankruptcy	Creditors’ Rights
Bankruptcy & Creditors Rights Real Estate	Bankruptcy	Creditors’ Rights
Bankruptcy & Creditors Rights Renewable Energy	Bankruptcy	Creditors’ Rights
Bankruptcy & Creditors Rights Transportation	Bankruptcy	Creditors’ Rights
Committees of Unsecured Creditors	Bankruptcy	Creditors’ Rights
Creditor Representations	Bankruptcy	Creditors’ Rights
Creditor Rights	Bankruptcy	Creditors’ Rights
Creditors	Bankruptcy	Creditors’ Rights
Creditors Committee / Ad Hoc Committee Representations	Bankruptcy	Creditors’ Rights
Creditors Committees	Bankruptcy	Creditors’ Rights
Creditors Committees & Trustee Representation	Bankruptcy	Creditors’ Rights
Creditors Rights	Bankruptcy	Creditors’ Rights
Creditors Rights & Advisory Services	Bankruptcy	Creditors’ Rights
Creditors Rights & Bankruptcy	Bankruptcy	Creditors’ Rights
Creditors Rights & Commercial Law	Bankruptcy	Creditors’ Rights
Creditors Rights & Remedies	Bankruptcy	Creditors’ Rights
Creditors Rights / Bankruptcy	Bankruptcy	Creditors’ Rights
Creditors Rights Advisory Services	Bankruptcy	Creditors’ Rights
Creditors Rights in Bankruptcy	Bankruptcy	Creditors’ Rights
Creditors Rights Law	Bankruptcy	Creditors’ Rights
Insolvency & Creditors Rights	Bankruptcy	Creditors’ Rights
Loan Enforcement & Creditors Rights	Bankruptcy	Creditors’ Rights
Creditors Rights Litigation	Bankruptcy	Creditors’ Rights;Litigation
Creditors’ Rights and Real Estate Litigation	Bankruptcy	Creditors’ Rights;Litigation
Creditors Rights & Restructuring	Bankruptcy	Creditors’ Rights;Restructuring
Bankruptcy Distressed Asset Purchasers	Bankruptcy	Distressed Debt
Distressed Debt & Non Performing Loans	Bankruptcy	Distressed Debt
Bankruptcy & Insolvency Litigation	Bankruptcy	Litigation
Bankruptcy & Strategic Litigation	Bankruptcy	Litigation
Bankruptcy Litigation	Bankruptcy	Litigation
Bankruptcy Litigation & Investigation	Bankruptcy	Litigation
Bankruptcy Related Litigation	Bankruptcy	Litigation
Civil Litigation With Emphasis in Bankruptcy	Bankruptcy	Litigation
Insolvency & Recovery Litigation	Bankruptcy	Litigation
Insolvency & Restructuring Complex Litigation Litigation	Bankruptcy	Litigation
Insolvency & Restructuring Litigation	Bankruptcy	Litigation
Insolvency Litigation	Bankruptcy	Litigation
Insolvency Litigation & Enforcement	Bankruptcy	Litigation
Litigation Arising Within Bankruptcy Cases	Bankruptcy	Litigation
Creditor Rights & Bankruptcy Litigation	Bankruptcy	Litigation;Creditors’ Rights
Creditor Rights / Bankruptcy	Bankruptcy	Litigation;Creditors’ Rights
